央视,#genre#
CCTV1,http://39.135.133.170/wh7f454c46tw1776995177_1478796336/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://39.135.133.177/wh7f454c46tw2186657996_2092876770/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://39.135.133.134/wh7f454c46tw3092506315_1805836536/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://39.135.133.173/wh7f454c46tw3251650285_1211585973/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://39.135.133.158/wh7f454c46tw3276130568_1409078706/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://39.135.133.178/wh7f454c46tw3325049064_1383876421/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://39.135.133.161/wh7f454c46tw3360232004_-302054732/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://39.135.133.177/wh7f454c46tw2671307022_1459451929/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://39.135.133.168/wh7f454c46tw2715452935_-1712377103/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://39.135.133.157/wh7f454c46tw2745736339_-767164055/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://39.135.133.171/wh7f454c46tw2773058280_-1212634435/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://39.135.133.174/wh7f454c46tw2807338504_2119157270/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://39.135.133.180/wh7f454c46tw2828220049_816936240/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://39.135.133.168/wh7f454c46tw2852174450_-1845604244/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://39.135.133.172/wh7f454c46tw2878399880_-440691017/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://39.135.133.172/wh7f454c46tw2905457680_-360863133/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://39.135.133.174/wh7f454c46tw2925935104_975996134/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://39.135.133.155/wh7f454c46tw2967408412_-1389705846/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CHC动作电影,http://111.20.105.60:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://111.20.35.103:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC动作电影,http://111.20.40.170/PLTV/88888893/224/3221226465/index.m3u8
CHC动作电影,http://39.134.19.228:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://111.20.105.60:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://111.20.35.103:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC高清电影,http://111.20.40.170/PLTV/88888893/224/3221226463/index.m3u8
CHC高清电影,http://39.134.19.228:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://111.20.105.60:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://111.20.35.103:6610/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC家庭影院,http://111.20.40.170/PLTV/88888893/224/3221226462/index.m3u8

卫视,#genre#
安徽卫视,http://39.135.133.163/wh7f454c46tw3112515654_1407192700/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
北京卫视,http://39.135.133.170/wh7f454c46tw3167655338_677524037/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
东方卫视,http://39.135.133.162/wh7f454c46tw3284043158_1080881900/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东南卫视,http://39.135.133.174/wh7f454c46tw3314968038_-569147729/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
甘肃卫视,http://39.135.133.172/wh7f454c46tw4199010202_758925986/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
甘肃卫视,http://39.135.133.173/wh7f454c46tw4239927114_513083354/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
广东卫视,http://39.135.133.155/wh7f454c46tw4283218692_-956089828/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://39.135.133.161/wh7f454c46tw23075301_1959833685/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://39.135.133.177/wh7f454c46tw4000003164_-571596546/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
海南卫视,http://39.135.133.158/wh7f454c46tw1576933940_1504982071/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
河北卫视,http://39.135.133.163/wh7f454c46tw4108307346_-1148529763/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://39.135.133.156/wh7f454c46tw1607062694_-1785750788/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
湖北卫视,http://39.135.133.173/wh7f454c46tw1645321155_1503209230/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://39.135.133.158/wh7f454c46tw1722134074_179785868/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8

吉林卫视,http://39.135.133.161/wh7f454c46tw1786032943_-1892636902/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8

江苏卫视,http://39.135.133.179/wh7f454c46tw1821511103_65461499/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8

江西卫视,http://39.135.133.158/wh7f454c46tw1859999923_-1517581718/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8

辽宁卫视,http://39.135.133.168/wh7f454c46tw1887756461_-684051689/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8

内蒙古卫视,http://39.135.133.157/wh7f454c46tw1913808389_759387473/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8

宁夏卫视,http://39.135.133.167/wh7f454c46tw1950891602_1524529646/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8

青海卫视,http://39.135.133.156/wh7f454c46tw2050735362_546257751/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8

山东卫视,http://39.135.133.170/wh7f454c46tw2085576760_-822404920/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8

山西卫视,http://39.135.133.159/wh7f454c46tw3209442774_2135302736/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8

陕西卫视,http://39.135.133.161/wh7f454c46tw3261290153_-802676623/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8

深圳卫视,http://39.135.133.148/wh7f454c46tw3293224240_707847937/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8

四川卫视,http://39.135.133.157/wh7f454c46tw2559601666_1364868892/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8

天津卫视,http://39.135.133.157/wh7f454c46tw3456659744_-475690527/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8

西藏卫视,http://39.135.133.180/wh7f454c46tw3511796107_-1974290649/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8

新疆卫视http://39.135.133.154/wh7f454c46tw3570294598_442344522/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8

云南卫视,http://39.135.133.175/wh7f454c46tw3603969567_603634854/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8

浙江卫视,http://39.135.133.176/wh7f454c46tw3653221205_-1014620479/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8

重庆卫视,http://39.135.133.179/wh7f454c46tw3694386252_-33267668/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8

重庆台,#genre#
重庆卫视,http://39.135.133.177/wh7f454c46tw2905496442_1288872867/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8

